Id,Size (sqft),Number of Bedrooms,Number of Floors,Age of Home,Price (1000s dollars)
5634500392,2420,3,1,52,330.0
1509500060,2720,4,2,48,370.0
7214810350,2500,5,1,61,467.0
6647200060,1670,3,1,60,405.0
9552700140,2900,5,1,55,675.0
2200500350,1640,2,1,86,500.0
6113400046,1890,4,2,72,389.999
6619910140,2950,4,1,65,630.0
1115450240,2160,4,2,48,360.0
6073240060,3280,4,2,54,580.0
9297300045,1970,3,2,111,550.0
9510920070,3360,4,2,46,879.0
5468730030,1320,3,1,47,265.0
8079030390,2650,3,2,50,446.5
600000152,2030,3,1,77,404.0
1840000030,1590,3,1,83,267.5
3225069065,4550,4,1,38,3075.0
3260800030,2440,3,2,42,335.0
2747100024,1940,3,1,92,576.0
5104530560,2040,3,2,34,208.633
4330600350,2200,3,1,76,315.0
5016001535,1920,3,1,127,725.0
7280300196,1800,4,1,75,550.0
8651520400,2180,4,2,56,610.75
7171200445,1010,2,1,132,550.7
3204800200,3320,4,2,80,665.0
3416600800,2370,4,1,112,834.0
7994700030,1660,5,1,125,201.0
1860600135,3650,5,2,119,2384.0
4139480200,4290,4,1,43,1384.0
4139480200,4290,4,1,43,1400.0
1328320800,1950,4,1,61,305.0
7771300125,2590,3,1,92,487.0
3422059208,1930,3,1,52,390.0
9521101455,1470,2,1,124,548.0
4337000335,800,4,1,97,268.75
325059286,3150,5,2,27,819.9
2597650240,2030,3,2,56,520.0
3353400435,1450,3,1,37,230.0
7972000240,1510,3,1,71,240.0
7520000520,1240,2,1,118,232.0
7520000520,1240,2,1,118,240.5
3530210260,3030,3,2,53,274.975
1959700550,2050,4,1,118,740.0
1665400045,1000,3,1,88,186.375
9542850320,2370,3,1,63,790.0
3179100060,2800,4,2,89,880.0
2946001550,2240,6,2,85,279.0
8078490390,1810,3,1,49,295.0
9550201550,1070,2,1,116,640.0
191100045,2490,4,2,72,940.0
5009600070,1960,4,2,37,260.0
200350070,2930,3,1,36,559.9
2877103726,1510,4,1,129,791.5
405100295,1420,3,1,86,265.0
4268200055,1740,3,1,86,245.0
3126069068,2560,4,2,78,485.0
1115300070,3040,4,2,30,684.0
6414100671,2500,3,1,83,425.0
7004200060,1275,4,1,49,309.6
7852110140,2580,4,2,38,552.25
3969300030,1000,4,1,97,165.0
3969300030,1000,4,1,97,239.9
4048400070,1070,2,1,110,320.0
808000070,1390,3,1,53,206.6
7374200030,2500,4,1,67,387.0
7325600160,560,1,1,73,299.0
2757000030,2270,4,2,75,855.0
616000140,1900,3,1,86,315.0
3363900111,990,2,1,133,437.5
9262800171,1550,4,1,71,252.0
6607000126,2200,4,1,85,375.0
5416510830,1910,4,2,35,300.0
2201500030,1750,4,1,86,420.0
325059171,1330,3,1,112,900.0
952003285,2440,3,2,40,679.9
3211290370,1640,3,2,48,463.0
1072010350,2760,5,2,62,380.0
8856950070,1820,4,2,46,329.5
925059078,2110,3,1,27,604.95
7855801090,3040,5,1,74,795.0
723099065,1840,3,2,46,465.0
6116500075,2990,4,2,38,673.0
1118500030,3520,4,2,49,810.0
424069250,2440,4,1,51,785.0
3291800710,2090,4,1,54,338.0
6838700060,1430,3,2,47,280.0
2231500030,2180,4,1,86,315.0
2231500030,2180,4,1,86,530.0
7683900200,3450,5,2,36,380.0
8155830060,1450,3,2,46,297.0
98020310,3230,4,2,36,730.0
9423400140,1640,3,1,100,450.0
1545804860,1590,3,1,43,275.0
2883200160,2020,4,2,80,595.0
7132300695,1300,3,1,136,435.0
1726059053,1380,2,1,86,270.0
624111000,4040,3,2,54,950.0
808300310,2130,4,2,39,389.0
8563040160,2550,4,1,72,560.0
713500030,4800,5,2,42,1350.0
8651600160,2510,4,2,71,799.0
9517200030,1410,3,1,57,365.5
2460700700,1650,3,1,61,252.35
1223039290,2120,4,2,47,403.95
2890100060,2040,4,1,86,385.0
7972600860,1550,4,1,83,345.0
8857320070,1980,3,2,61,490.0
4047200695,1600,3,2,35,330.0
1653500070,3300,4,2,87,927.0
1923000030,3840,4,2,57,1118.0
3649100320,1220,2,1,90,330.0
7375300160,2720,5,1,82,530.0
5175800060,1940,4,1,78,365.0
1604601375,2160,3,1,131,378.75
2473251090,1530,4,1,72,269.9
9126100861,1710,3,2,32,557.0
3420069065,3730,4,1,66,360.0
6021501685,940,2,1,103,352.0
1151100070,1750,3,2,46,437.0
8856950240,1820,4,2,46,322.5
9385200055,1510,3,2,39,650.0
7821200390,1290,3,3,39,450.0
8078520310,1570,3,1,42,278.5
1565950030,1930,4,2,45,364.95
1560930070,2840,4,1,54,840.0
6700400140,1550,3,2,49,268.0
2422029094,833,2,1,34,517.534
1774220160,2990,3,2,62,632.925
1525200060,2000,3,2,45,577.5
1678400105,2390,4,1,120,339.0
3426059070,2910,3,1,73,570.0
824079032,2085,4,1,76,563.5
2697100140,2200,4,1,78,423.0
8724300030,1860,3,2,28,355.0
8678500060,6070,5,2,41,1550.0
625049299,950,2,1,99,482.0
6073200075,1600,3,1,85,625.0
6388900710,2250,3,2,52,538.0
1442860160,2280,3,2,55,380.0
7942600310,940,2,1,131,375.0
1545808560,1530,3,1,44,245.0
936000060,2190,5,1,93,310.0
9808650060,2350,3,1,64,1300.0
3754700160,1440,4,1,69,397.0
305500140,2200,3,2,35,365.0
5468750060,2290,4,2,50,328.5
2944010240,4040,4,2,53,988.0
3454000060,2610,4,1,118,1000.0
646910160,1490,3,2,35,237.0
8564950390,2450,4,2,37,525.0
2268400350,1710,4,1,64,749.0
7504101040,4870,5,2,57,722.5
11500890,3130,3,2,49,843.0
9528102772,1270,2,3,40,438.0
284000223,2120,3,1,63,578.0
3353401710,1670,3,1,86,227.95
8159610030,2070,3,2,66,196.0
3179100435,1420,2,1,87,641.0
822079033,1250,3,1,60,350.0
8857600960,940,3,1,80,205.0
1774000200,1920,3,1,72,400.0
2024069128,3545,3,1,35,1030.0
1049010390,1260,3,1,68,505.0
7905370390,2340,5,1,65,475.0
4140090240,2590,3,1,63,520.0
4055700030,3970,3,2,63,1450.0
3775300030,1220,3,1,75,333.5
2525300030,1400,3,1,64,232.0
1324059104,2360,3,1,57,691.1
2287000030,1870,3,1,80,811.0
7702010030,2830,3,2,39,551.0
1529200340,2260,3,2,46,496.5
2122039094,1970,3,2,60,705.0
1742800030,3140,4,1,74,578.0
1796360350,1240,3,1,54,255.0
6154500070,3450,4,2,33,1050.0
1843100340,2570,3,2,51,348.0
8944290160,1510,3,2,55,230.0
4166600473,2390,4,2,52,359.5
7282300125,980,3,1,87,330.0
8658300340,430,1,1,128,80.0
2419600075,1480,3,1,86,465.0
2621760350,1850,4,2,43,325.0
1723049270,2270,3,1,93,340.5
4123840310,1810,3,2,47,342.5
2172000075,1610,2,2,110,290.9
8651611170,3840,3,2,40,868.7
8820902200,4110,4,2,112,1199.0
8651610890,4190,4,2,40,1150.0
1853080570,3390,4,2,29,859.9
3629920030,1890,4,2,37,520.0
1604602050,1610,3,2,35,460.0
6844700810,1050,3,1,91,438.924
66000070,630,2,1,122,315.0
6665800030,2910,4,1,65,590.0
2205700350,1700,4,1,85,378.5
5466000030,1950,3,2,50,328.5
6189200125,2990,3,2,67,849.95
9169600135,1350,3,1,90,525.0
2625069070,4860,4,2,47,1385.0
8732131090,2160,4,1,62,295.0
9286000240,4860,6,2,42,1067.0
1895000260,890,2,1,123,207.95
8691370400,2810,4,2,38,699.9
5423010350,3400,5,2,63,1280.0
8562501040,1580,4,1,77,452.0
2475200140,1680,3,1,53,370.0
7942100310,1300,3,1,72,232.0
3760000030,2820,5,2,80,669.95
1727500340,1510,3,1,68,397.5
9828702519,1230,2,2,36,490.0
4432600075,2110,4,2,115,725.0
7806300030,3080,3,1,82,299.0
9274202270,1490,2,1,140,625.0
7852030960,2120,3,2,40,437.5
7852170140,3180,4,2,37,650.0
7518503335,1490,2,1,111,475.0
5467900070,1930,3,1,74,342.0
1245002952,2770,4,2,41,1197.35
8906200070,1670,3,1,77,280.0
5379805885,1330,2,1,47,240.0
2769600560,1210,3,1,116,529.0
9238901420,1190,3,1,99,442.0
5113400431,1540,2,1,94,615.0
3885805665,4030,4,2,34,1485.0
8121200810,2430,4,1,59,585.0
5126310400,2600,4,2,35,480.0
7322910030,4410,5,2,50,1095.0
2827100070,1330,4,1,91,290.0
9276201895,1900,3,1,89,615.0
4402700070,1100,2,1,90,300.0
1922059046,1980,3,1,108,308.0
925059288,2400,3,2,39,750.0
4386700135,4760,4,2,124,2250.0
1923069078,3180,4,2,35,890.0
1432400335,1190,3,1,82,288.0
1180003090,630,2,1,97,190.0
726049331,2530,5,1,35,515.0
3340401555,1690,4,1,110,235.0
7453000070,940,2,1,89,275.0
4348800030,1240,2,1,88,727.5
7202331420,3040,4,2,37,650.0
3225079035,6050,6,2,39,1600.0
6381500700,1590,4,1,96,365.0
339500160,2500,3,1,56,662.0
1545807610,1780,3,1,62,270.5
1843200240,1360,2,2,62,200.0
4403600270,4740,4,2,53,970.0
2008200060,1010,3,1,78,160.0
1521069070,1040,3,1,69,204.0
2459500310,1610,3,2,55,358.0
6204420070,1570,4,1,61,452.0
5694500105,1510,2,1,140,595.0
5466410030,1360,3,1,46,249.0
9485740340,1970,4,2,41,346.9
622049114,5403,3,2,64,2125.0
2270000070,1560,4,2,37,280.0
1310900260,2320,4,1,67,318.888
224069094,2120,3,1,73,530.0
7800800160,2120,3,2,57,375.0
2944000240,3350,4,2,52,910.0
4139400710,2380,4,2,49,782.0
7899800860,1070,2,2,32,259.95
2473420140,2300,4,1,61,315.0
5000500055,1320,2,1,97,215.0
4099500935,2180,3,1,94,705.0
1373800295,4380,3,2,88,1450.0
4025300135,1790,3,2,91,451.0
3294700310,750,2,1,97,261.0
8718500075,1300,3,1,84,396.0
4309710240,2990,4,2,41,725.0
5486800070,4640,7,2,75,1950.0
236400320,1400,4,1,81,238.0
4376700570,2750,6,2,67,750.0
8648100200,2050,4,2,42,331.5
3624079046,2230,4,1,62,460.0
1921069084,2340,4,1,58,404.95
6431500140,2870,3,2,26,880.0
2725069050,4120,4,2,43,863.0
5307100060,2080,3,1,80,638.7
7203102050,1840,3,2,32,435.0
561000075,1180,3,1,81,260.0
2436701180,2160,5,1,113,671.5
809002765,1180,3,1,133,610.0
4045500710,1160,2,1,103,405.0
5104510270,1830,4,2,37,338.9
98020350,3200,4,2,36,720.0
1714900060,2560,5,1,113,442.0
1189000030,2550,5,1,138,650.0
2473360060,1330,3,1,59,263.5
222069082,1220,2,1,77,300.0
8669160310,1805,3,2,31,266.0
1526069135,6050,4,2,31,930.0
1088650310,2320,4,2,36,530.0
8945200860,1384,3,1,75,180.0
7853240200,2720,3,2,35,619.0
7511800070,1820,3,1,78,264.0
2998800125,2130,2,1,99,730.0
3876300310,2060,4,2,65,439.0
5419800510,1420,4,1,59,268.5
192460060,1510,3,1,55,330.0
7942601895,2160,3,1,137,640.0
7504010570,3180,3,2,62,900.0
1442740140,2110,3,2,55,370.0
6909200575,2060,3,1,109,685.0
2525069041,1830,3,1,59,505.0
3620069036,1820,3,1,74,265.0
2781280390,1610,3,2,34,290.0
9542830350,1780,4,2,34,296.0
1123049053,1840,4,2,44,360.0
8018600765,1460,3,1,43,240.5
3278600240,1400,2,2,33,372.5
7846200070,3370,3,2,36,595.0
662310400,3590,4,2,43,515.0
8651100140,3200,4,2,78,1220.0
8682250350,1670,2,1,36,507.0
3211230260,2420,4,1,56,399.95
4233400340,1430,3,2,46,185.0
7199350340,1440,3,1,60,460.0
3904901710,1450,3,2,55,435.5
240000058,3550,4,1,74,469.0
6865200444,1270,2,2,40,531.0
9498200046,940,2,1,91,443.5
1796380960,1670,3,1,50,223.0
5631500868,3100,4,2,44,590.0
3126049411,1100,2,3,43,340.0
2321300390,1870,3,1,115,650.0
3905040800,1930,3,2,50,533.6
4379400260,2540,3,2,35,695.0
5115000160,1280,3,1,52,242.0
2826049234,1820,3,1,73,425.0
6600700030,1490,3,2,59,525.0
3904930240,1880,3,2,52,485.0
9407110700,1250,3,1,69,175.0
1682500160,1440,3,1,57,210.0
8078570390,1920,3,2,51,260.0
3010300240,2060,3,1,64,577.0
9500900135,1210,3,1,82,200.0
461001615,1760,2,1,113,605.0
6411600069,990,3,1,93,325.0
7812800565,960,3,1,96,289.5
7548300731,1660,3,3,26,559.95
8925100390,1900,3,1,99,1042.5
7010700292,1270,3,1,70,543.5
9485951170,3250,4,2,57,480.0
5437820310,960,3,1,58,218.0
582000135,1330,2,1,126,565.0
3204800370,2080,3,1,72,426.7
8832900550,2690,3,1,83,650.0
9550204515,890,2,1,130,542.0
7199330390,1070,3,1,63,415.0
6131600060,1200,3,1,87,214.0
5379805460,1360,3,2,91,245.0
7212652180,2050,3,1,47,314.5
6379500640,3000,3,2,116,1120.0
4315700060,1300,2,1,77,378.0
3329500060,2250,4,1,58,305.0
4140090320,3740,5,1,62,595.0
9385200045,1660,3,3,25,729.5
7852180340,2360,3,2,37,430.0
1545804340,1760,3,1,53,240.0
2490200320,1680,3,1,124,545.0
2218000335,1320,3,1,122,530.0
922049078,870,1,1,101,157.0
2586800270,1260,4,1,115,425.0
4338800370,1000,3,1,96,220.0
7214700350,2020,4,1,64,521.0
3226200105,1920,3,1,88,325.0
2324039036,2150,3,1,129,597.5
7849202231,1470,3,2,41,337.0
5196410260,3180,3,2,49,1000.0
3760500116,3930,3,1,83,3070.0
2985800030,990,3,1,97,495.0
259900160,2770,4,2,39,748.0
708000030,1250,3,1,87,888.0
192460310,1140,3,1,54,269.9
9412200260,2250,4,1,73,496.5
1062100116,1640,3,2,71,475.0
6798100662,1255,3,3,36,312.0
1775920350,1290,3,1,64,323.0
2525500260,1300,3,1,54,331.0
6145600041,1220,3,3,33,306.0
3300701615,2630,4,3,38,655.0
5151600340,1950,3,1,81,290.0
7613700521,3160,4,2,75,1250.0
2710600045,1550,3,1,91,460.0
5101405124,1700,4,1,100,435.0
6067910030,2510,4,1,62,664.0
1959701890,1800,4,2,119,865.0
1402200340,1800,3,1,72,385.0
3558900070,1870,3,1,65,497.0
7846700310,1010,2,1,115,280.0
3348401740,1120,2,1,116,188.0
3013300288,2090,3,1,71,478.5
7852070060,4370,4,2,39,1145.0
5029450160,1440,3,1,59,222.0
3526069070,2580,4,2,56,799.0
5104540240,3190,4,2,34,609.9
3438500486,2380,4,2,45,413.0
5102400105,1420,4,1,110,400.0
2346200030,2990,5,2,26,802.541
1321710030,2680,3,2,50,320.0
7853290030,2730,4,2,34,507.0
1566100400,1220,3,1,94,387.5
1775800800,1500,3,1,73,396.0
9133600075,1830,3,1,82,373.0
5450900060,4570,5,2,75,1484.9
1402600700,2470,4,2,57,359.9
8024200350,800,2,1,113,410.0
3121500340,2900,4,2,48,690.0
7697870860,1410,3,1,55,245.0
7527200030,2830,5,1,61,700.0
2013200390,1680,4,1,63,268.0
766500030,1760,3,1,61,225.0
6664000030,2240,4,2,64,980.0
9349900105,1380,2,1,135,795.0
1895000045,820,2,1,87,195.0
6205500030,2180,4,1,90,480.0
7011200260,1400,4,1,140,485.0
41000454,880,2,1,112,130.0
7203600550,1060,2,1,94,325.0
9477200560,1530,3,1,56,440.0
4022907770,2480,4,1,82,550.0
5231000060,1490,3,1,73,310.0
6055000310,3660,3,2,51,530.0
3216900060,2340,4,2,47,390.0
7967200060,1450,3,1,59,243.0
8077210350,2210,4,2,50,639.0
7203000640,1130,4,1,71,215.0
2988000070,1550,5,1,79,405.0
3832200070,1710,4,1,72,250.0
3670500710,1010,3,1,86,405.5
8820903380,2660,6,2,103,452.0
8820903380,2660,6,2,103,730.0
4233400400,1300,3,1,46,267.0
3793500550,1670,3,2,38,289.95
6431000270,960,2,1,129,565.0
2225059214,4670,4,2,52,1578.0
7694800270,2140,3,2,33,636.0
2171400197,2520,5,1,36,350.0
2473400340,1650,3,1,62,320.0
3530490070,1440,2,1,62,210.0
1932300075,1050,2,1,90,245.0
2525000510,1470,3,1,57,328.0
1853000510,4230,4,2,51,985.0
1742800060,1970,3,1,64,501.0
2723089104,1540,3,2,48,315.0
2619950350,2090,3,2,28,403.0
4021100045,2380,3,2,106,550.0
731500200,2156,4,2,28,347.5
2591820310,2070,4,2,54,365.0
3626039299,1910,3,1,89,588.0
9346980140,1920,3,1,63,605.0
6613000140,3400,3,2,103,1300.0
8159610060,1400,3,1,66,233.0
7830800339,2210,4,2,43,360.0
1588600045,1170,2,1,111,459.0
826069046,2100,3,1,45,740.0
1771000890,1160,3,1,73,305.0
3300701170,1500,3,1,115,395.0
7340500270,2940,4,2,40,560.0
9277200111,2010,4,1,77,650.0
293720140,2170,3,2,37,449.95
579003610,1430,3,1,100,517.5
1138020200,1510,4,1,70,435.0
3432500200,1150,3,1,88,329.999
1563102435,2150,3,1,80,950.0
3959400710,1370,3,1,96,447.0
8682300890,2380,2,1,30,699.8
4385700765,1370,3,1,129,850.0
5149300200,1600,3,1,61,316.5
9323600060,3750,5,1,59,942.5
9273200140,3950,2,2,49,1310.0
9542300320,2400,4,1,76,856.6
770000045,2830,5,2,122,405.6
6979900390,2440,4,2,44,565.0
6379500159,1190,3,2,32,400.0
826079094,1400,3,1,43,330.0
8856940060,2730,4,2,35,374.95
2972300060,2390,3,1,57,405.3
3575200070,2060,3,2,56,560.0
8146100270,2490,4,1,79,824.0
8648200030,1100,3,1,56,260.0
208500160,2430,4,1,75,760.0
1196003428,3170,3,2,45,405.0
5104450990,2640,4,2,53,429.9
3343901234,1130,3,1,79,341.5
226039214,1940,5,1,83,465.25
1623300160,1100,2,1,128,450.0
2205500575,1200,3,1,85,390.0
4040800810,2000,3,1,77,420.0
